pl_name,hostname,ra,dec,sy_vmag,sy_jmag,sy_kmag,st_teff,st_logg,st_met,st_age,st_ageerr1,st_ageerr2,pl_orbper,pl_rade,pl_trandur,disc_facility,disc_year,mission_source
HIP 65 A b,HIP 65 A,0.1856063,-54.8308228,11,8.922,8.29,4590,4.611,0.18,4.1,4.3,-2.8,0.9809734,22.75427,0.78576,Transiting Exoplanet Survey Satellite (TESS),2020,TESS
WASP-136 b,WASP-136,0.325761,-8.9262512,9.974,9.016,8.805,6250,3.9,-0.18,3.62,0.7,-0.7,5.215361788,16.81347105,5.5895721,SuperWASP,2016,WASP
KELT-1 b,KELT-1,0.3620995,39.3837953,10.632,9.682,9.437,6516,4.228,0.052,,,,1.217514,12.442,2.76456,KELT,2012,KELT
HATS-34 b,HATS-34,0.7744866,-62.4693167,13.857,12.513,12.095,5380,4.435,0.25,7.7,2.7,-2.7,2.1061607,16.02887,1.5552,HATSouth,2016,HAT
WASP-96 b,WASP-96,1.0465696,-47.3606352,12.569,11.267,10.914,5540,4.42,0.14,8,26,-8,3.4252602,13.45,2.4264,SuperWASP,2014,WASP
TOI-198 b,TOI-198,2.2715087,-27.1217452,11.688,8.655,7.856,3650,4.75,-0.7,5.3,1,-1,10.2152,1.44,1.631,Transiting Exoplanet Survey Satellite (TESS),2023,TESS
WASP-44 b,WASP-44,3.9032733,-11.9382645,13.096,11.702,11.341,5420,4.494,-0.003,10.3,2.7,-5,2.423804,12.3299,2.2368,SuperWASP,2011,WASP
Gliese 12 b,Gliese 12,3.9579137,13.5576175,12.6,8.619,7.807,3296,5.21,-0.32,7,2.8,-2.2,12.761408,0.958,1.2,Transiting Exoplanet Survey Satellite (TESS),2024,TESS
WASP-32 b,WASP-32,3.9617073,1.2005122,11.257,10.503,10.161,6140,4.4,-0.13,2.22,0.62,-0.73,2.71866,10.76064,2.424,SuperWASP,2010,WASP
WASP-158 b,WASP-158,4.1463468,-10.9764226,12.044,11.178,10.881,6350,4.3,0.24,1.93,0.93,-0.93,3.656333,11.99363,3.576,SuperWASP-South,2018,WASP
HD 1397 b,HD 1397,4.4471631,-66.3589285,7.79,6.442,5.988,5521,3.823,0.29,4.51,0.5,-0.5,11.53533,11.500434,8.6016,Transiting Exoplanet Survey Satellite (TESS),2018,TESS
TOI-6016 b,TOI-6016,4.5239602,59.7661983,11.886,10.629,10.224,6110,4.19,0.28,0.3,0.1,-0.1,4.023687,13.67495645,5.7,Transiting Exoplanet Survey Satellite (TESS),2024,TESS
WASP-26 b,WASP-26,4.6030424,-15.2674044,11.297,10.021,9.69,6034,4.44,0.16,6,2,-2,2.7566,13.56289,2.3808565,SuperWASP,2010,WASP
TOI-260 b,TOI-260,4.7730178,-9.9661505,9.9,7.376,6.549,4026,4.45,-0.47,15.9,2.8,-5.5,13.475853,1.71,2.37,Transiting Exoplanet Survey Satellite (TESS),2024,TESS
Qatar-4 b,Qatar-4,4.859275,44.0275965,13.574,12.03,11.519,5215,4.533,0.103,0.17,0.01,-0.01,1.8053564,12.722215,2.1384,Qatar,2017,Other
WASP-20 b,WASP-20,5.1605621,-23.9357894,10.675,9.701,9.39,5940,4.231,-0.008,7,2,-1,4.89964477,15.46839337,3.07,SuperWASP,2015,WASP
WASP-1 b,WASP-1,5.1669536,31.9899732,11.308,10.586,10.276,6110,4.207,0.17,3.4,1.2,-0.6,2.5199454,16.623,3.7121363,SuperWASP,2007,WASP
WASP-45 b,WASP-45,5.2377567,-35.998465,11.801,10.753,10.294,5150,4.503,-0.03,12.7,1,-5.3,3.126089,10.603714,1.6824,SuperWASP,2011,WASP
HATS-30 b,HATS-30,5.618525,-59.9425892,12.283,11.129,10.793,5943,4.425,0.06,2.3,1.2,-1.2,3.1743516,13.170575,2.7504,HATSouth,2016,HAT
